ID|COD_SKU_SAP|UND_ORDEN|FECHA
19|224|31|1/02/2019
19|224|25|1/03/2019
19|224|19|1/04/2019
19|224|15|1/05/2019
19|224|17|1/06/2019
19|224|15|1/07/2019
19|224|11|1/08/2019
19|224|5|1/09/2019
19|224|12|1/10/2019
19|224|9|1/11/2019
19|224|14|1/12/2019
19|224|22|1/01/2020
19|224|11|1/02/2020
19|224|12|1/03/2020
19|224|15|1/04/2020
19|224|4|1/05/2020
19|224|5|1/06/2020
19|224|9|1/07/2020
19|224|1|1/08/2020
19|224|1|1/09/2020
19|224|3|1/10/2020
19|224|4|1/11/2020
19|224|2|1/12/2020
19|224|2|1/01/2021
19|224|2|1/02/2021
19|224|2|1/03/2021
19|224|2|1/04/2021
19|224|3|1/05/2021
19|224|3|1/06/2021
19|224|2|1/07/2021
19|224|3|1/08/2021
19|224|2|1/09/2021
19|224|3|1/10/2021
19|224|3|1/11/2021
19|224|7|1/12/2021
19|224|2|1/01/2022
19|224|15|1/02/2022
19|224|42|1/03/2022
19|224|14|1/04/2022
19|224|22|1/05/2022
19|224|25|1/06/2022
19|224|15|1/07/2022
19|224|25|1/08/2022
19|224|13|1/09/2022
19|224|30|1/10/2022
19|224|13|1/11/2022
19|224|26|1/12/2022
19|224|25|1/01/2023
19|224|49|1/02/2023
19|224|39|1/03/2023
19|224|37|1/04/2023
19|224|40|1/05/2023
19|224|35|1/06/2023
19|224|29|1/07/2023
20|228|165|1/01/2018
20|228|113|1/02/2018
20|228|146|1/03/2018
20|228|206|1/04/2018
20|228|272|1/05/2018
20|228|247|1/06/2018
20|228|217|1/07/2018
20|228|177|1/08/2018
20|228|221|1/09/2018
20|228|236|1/10/2018
20|228|241|1/11/2018
20|228|112|1/12/2018
20|228|92|1/01/2019
20|228|104|1/02/2019
20|228|124|1/03/2019
20|228|140|1/04/2019
20|228|164|1/05/2019
20|228|178|1/06/2019
20|228|154|1/07/2019
20|228|147|1/08/2019
20|228|162|1/09/2019
20|228|156|1/10/2019
20|228|179|1/11/2019
20|228|210|1/12/2019
20|228|126|1/01/2020
20|228|145|1/02/2020
20|228|167|1/03/2020
20|228|86|1/04/2020
20|228|172|1/05/2020
20|228|156|1/06/2020
20|228|101|1/07/2020
20|228|136|1/08/2020
20|228|82|1/09/2020
20|228|94|1/10/2020
20|228|72|1/11/2020
20|228|97|1/12/2020
20|228|112|1/01/2021
20|228|71|1/02/2021
20|228|85|1/03/2021
20|228|113|1/04/2021
20|228|107|1/05/2021
20|228|127|1/06/2021
20|228|141|1/07/2021
20|228|124|1/08/2021
20|228|139|1/09/2021
20|228|143|1/10/2021
20|228|196|1/11/2021
20|228|164|1/12/2021
20|228|292|1/01/2022
20|228|74|1/02/2022
20|228|225|1/03/2022
20|228|222|1/04/2022
20|228|303|1/05/2022
20|228|464|1/06/2022
20|228|149|1/07/2022
20|228|453|1/08/2022
20|228|125|1/09/2022
20|228|324|1/10/2022
20|228|152|1/11/2022
20|228|238|1/12/2022
20|228|317|1/01/2023
20|228|152|1/02/2023
20|228|244|1/03/2023
20|228|623|1/04/2023
20|228|374|1/05/2023
20|228|407|1/06/2023
20|228|305|1/07/2023
24|262|82|1/01/2018
24|262|59|1/02/2018
24|262|83|1/03/2018
24|262|101|1/04/2018
24|262|160|1/05/2018
24|262|189|1/06/2018
